Type,Campaign,Extension Text / Link Title,Description 1,Description 2,Final URL,Phone Number
SITELINK,STC – High-Intent Local,Our Services,Personal care & companionship,Memory care & more,https://zbracko.github.io/click2-homehealth/dist/services/,
SITELINK,STC – High-Intent Local,Areas We Serve,Palm Beach & Broward counties,44+ cities covered,https://zbracko.github.io/click2-homehealth/dist/areas/,
SITELINK,STC – High-Intent Local,Memory Care,Specialized Alzheimer's support,Trained compassionate staff,https://zbracko.github.io/click2-homehealth/dist/services/memory-care/,
SITELINK,STC – High-Intent Local,Get In Touch,Free care consultation,No obligation assessment,https://zbracko.github.io/click2-homehealth#contact,
CALLOUT,STC – High-Intent Local,Licensed & Insured,,,,
CALLOUT,STC – High-Intent Local,Background-Checked Staff,,,,
CALLOUT,STC – High-Intent Local,No Long-Term Contracts,,,,
CALLOUT,STC – High-Intent Local,Free Consultation,,,,
CALLOUT,STC – High-Intent Local,24/7 Availability,,,,
CALLOUT,STC – High-Intent Local,Serving 44+ Cities,,,,
CALLOUT,STC – High-Intent Local,Same-Week Start Available,,,,
CALLOUT,STC – High-Intent Local,Personalized Care Plans,,,,
STRUCTURED_SNIPPET,STC – High-Intent Local,"Services: Personal Care, Companionship, Memory Care, Respite Care, Post-Surgery, Light Housekeeping, 24-Hour Live-In, Medication Reminders",,,,
CALL,STC – High-Intent Local,,,,,+15616215700
